Pontalinda;3539;4074;4127
Populina;4450;4223;4127
Tejupa;5336;4809;4127
Aparecida d'Oeste;4935;4444;4086
Bocaina;9442;10862;4078
Rifaina;3325;3436;4049
Iporanga;4562;4302;4046
Indiapora;4058;3906;4035
Motuca;3871;4290;4034
Paranapua;3632;3815;4031
Anhumas;3411;3738;4023
Lupercio;4230;4353;3981
Itapura;3838;4360;3979
Macedonia;3761;3664;3963
alvares Florence;4316;3901;3915
Santopolis do Aguapei;3816;4281;3899
Balbinos;1313;3932;3887
Jeriquara;3280;3168;3863
Sao Jose do Barreiro;4143;4097;3853
Rubineia;2615;2862;3833
Presidente Alves;4317;4123;3804
Murutinga do Sul;3971;4186;3737
Mombuca;3107;3266;3722
Caiabu;4077;4072;3712
Sarutaia;3739;3622;3704
Sandovalina;3089;3699;3645
Itaju;2638;3263;3618
Inubia Paulista;3318;3630;3615
Areias;3600;3693;3577
Bom Sucesso de Itarare;3231;3571;3555
Barao de Antonina;2794;3116;3531
Mariapolis;3854;3916;3513
Altair;3530;3814;3451
Itaoca;3226;3228;3421
Quadra;2651;3236;3405
Pongai;3693;3479;3395
Suzanapolis;2790;3383;3365
Marapoama;2238;2633;3292
Queiroz;2171;2808;3265
Piquerobi;3478;3541;3264
Gastao Vidigal;3586;4193;3252
Magda;3421;3200;3165
Elisiario;2577;3120;3138
Sao Francisco;2863;2793;3137
Ribeira;3507;3358;3132
Sebastianopolis do Sul;2546;3031;3130
Mira Estrela;2596;2827;3126
Jumirim;2196;2801;3059
Platina;2867;3192;3030
Emilianopolis;2893;3024;3014
Santo Expedito;2526;2806;3000
Santa Mercedes;2803;2831;2956
Parisi;1948;2032;2892
Pedrinhas Paulista;2861;2936;2804
Cassia dos Coqueiros;2871;2627;2799
Pedranopolis;2734;2561;2787
aguas de Sao Pedro;1883;2703;2780
Gabriel Monteiro;2726;2705;2763
Floreal;3223;3003;2733
Santa Rita d'Oeste;2695;2543;2733
Borebi;1933;2295;2713
Estrela do Norte;2625;2661;2703
Rubiacea;2337;2729;2700
Zacarias;1947;2334;2692
Lutecia;2897;2703;2666
Nantes;2269;2707;2660
Santo Andre;649331;673914;2622
Taquaral;2722;2726;2619
Bento de Abreu;2394;2674;2606
Santa Clara d'Oeste;2123;2084;2598
Sao Joao das Duas Pontes;2660;2566;2580
Pracinha;1431;2863;2578
Brejo Alegre;2308;2573;2565
Sagres;2439;2395;2474
Oscar Bressane;2552;2539;2470
Timburi;2731;2646;2464
Pontes Gestal;2539;2523;2387
Lucianopolis;2154;2255;2372
Arapei;2618;2492;2330
Embauba;2478;2423;2323
Sao Joao do Pau d'Alho;2180;2103;2242
Amparo;60404;65836;2234
Dolcinopolis;2152;2096;2207
Nova Guataporanga;2087;2178;2156
Santa Cruz da Esperanca;1796;1953;2116
Cruzalia;2610;2270;2108
Torre de Pedra;2144;2257;2046
Arco-iris;2163;1925;2044
Nova Canaa Paulista;2483;2114;2032
Ribeirao dos indios;2222;2187;2025
Guarani d'Oeste;2006;1969;1968
Mesopolis;1930;1886;1952
Lourdes;2007;2123;1950
Marinopolis;2195;2113;1860
Sao Joao de Iracema;1671;1780;1846
Aspasia;1861;1809;1842
Turiuba;1895;1927;1818
Vitoria Brasil;1675;1737;1794
Tapirai;8570;8015;1690
Trabiju;1380;1544;1682
Santana da Ponte Pensa;1894;1641;1670
Fernao;1432;1563;1656
Santa Salete;1379;1447;1645
Dirce Reis;1623;1689;1620
Uniao Paulista;1354;1599;1603
Flora Rica;2177;1752;1487
Uru;1404;1251;1387
Nova Castilho;991;1127;1062
Bora;795;805;907
